ticker,name,kurs,wolumen,obrot
06N,(06MAGNA),320,29665,94560
08N,(08OCTAVA),700,50,35
11B,(11BIT),16540,5387,896826
1AT,(ATAL),5900,1026,60432
3RG,(3RGAMES),860,65117,55702
4MS,(4MASS),4320,51078,217226
AAT,(ALTA),1590,1533,2438
ABE,(ABPL),9570,446,42666
ABS,(ASSECOBS),8620,141,12136
ACG,(ACAUTOGAZ),2520,721,18164
ACP,(ASSECOPOL),19160,24541,4758596
ACT,(ACTION),3050,4018,122835
ADV,(ADIUVO),718,4229,2926
AGO,(AGORA),916,12,110
AGT,(AGROTON),520,2784,14093
ALE,(ALLEGRO),34630,948612,32895756
ALG,(AIGAMES),928,1083,1011
ALI,(ALTUS),276,4404,12076
ALL,(AILLERON),1498,10852,163092
ALR,(ALIOR),10205,99912,10259123
AMB,(AMBRA),1784,8025,143379
AMC,(AMICA),5520,433,23927
ANR,(ANSWEAR),2880,1284,36996
APE,(APSENERGY),295,3494,10297
APL,(AMPLI),100,5039,5039
APN,(APLISENS),1800,386,6954
APR,(AUTOPARTN),1730,142516,2469243
APT,(APATOR),2230,41448,930287
ARH,(ARCHICOM),4810,77,3699
ARL,(ARLEN),4060,1807,73554
ART,(ARTIFEX),1340,1151,15554
ASB,(ASBIS),2788,49734,1395904
ASE,(ASSECOSEE),6480,923,59638
ASM,(ASMGROUP),540,1533073,843929
AST,(ASTARTA),4455,1369,60893
ATC,(ARCTIC),812,8265,66904
ATD,(ATENDE),319,6861,21783
ATG,(ATMGRUPA),386,8273,32414
ATP,(ATLANTAPL),1680,10,168
ATR,(ATREM),4890,2126,103419
ATS,(ATLANTIS),208,102,209
ATT,(GRUPAAZOTY),1879,29400,555421
AWM,(AIRWAY),3570,187469,67138
B24,(BRAND24),5540,28,1556
BBD,(BBIDEV),555,729,4089
BBT,(BOOMBIT),650,238,1547
BCM,(BETACOM),482,6,29
BCS,(BIGCHEESE),1194,967,11553
BCX,(BIOCELTIX),9420,2801,265076
BDX,(BUDIMEX),57420,11443,6579444
BFT,(BENEFIT),303000,1296,3908265
BHW,(HANDLOWY),10360,11757,1220550
BIO,(BIOTON),416,2663,11041
BIP,(BIOPLANET),2170,1,22
BLO,(BLOOBER),2510,1895,47317
BMC,(BUMECH),2720,17978,489326
BMX,(BIOMAXIMA),1290,1181,15242
BNP,(BNPPPL),11300,1357,154614
BOS,NA,1140,9612,110338
BOW,(BOWIM),494,2521,12396
BRA,(BRASTER),580,15261,8880
BRS,(BORYSZEW),590,20791,122684
BST,(BEST),2820,103,2905
CAP,(CAPITEA),3990,124179,48256
CAR,(INTERCARS),54900,12532,6817989
CAV,(CAVATINA),1490,647,9690
CBF,(CYBERFLKS),17820,5090,906649
CCC,NA,13360,145266,19579053
CCE,(CCENERGY),290,200,58
CDL,(CDRL),920,78,741
CDR,(CDPROJEKT),23260,97727,22804442
CEZ,NA,22620,8,1810
CFI,NA,160,32855,5234
CIG,(CIGAMES),2985,379996,1146581
CLC,(COLUMBUS),613,27797,169238
CLD,(CLOUD),5700,184,10460
CLE,(COALENERG),256,25699,65251
CLN,(CLNPHARMA),2145,6867,146353
CMP,(COMP),5740,1651,94913
COG,(COGNOR),637,15645,100198
CPA,(CAPITAL),550,550,303
CPD,(CELTIC),299,7997,23512
CPI,(CPIEUROPE),6500,10,650
CPL,(COMPERIA),840,2053,17249
CPR,(COMPREMUM),880,6,5
CPS,(CYFRPLSAT),12655,221815,2815169
CRI,(CREOTECH),37300,3447,1294154
CRJ,(CREEPYJAR),42500,355,150717
CRM,(CORMAY),406,2784,1124
CSR,(CASPAR),396,2,8
CTS,(CITYSERV),595,32,190
CTX,(CAPTORTX),4690,626,29481
CZT,(CZTOREBKA),468,1210,566
DAD,(DADELO),5840,30503,1787754
DAT,(DATAWALK),9012,4092,373235
DBC,(DEBICA),8070,774,62574
DBE,(DBENERGY),1120,39,440
DCR,(DECORA),6920,1174,82275
DEK,(DEKPOL),9860,864,85264
DEL,(DELKO),694,3789,26179
DGA,NA,2570,406,10321
DGE,(DRAGOENT),2740,1179,31642
DIA,(DIAG),17865,16552,2978284
DIG,(DIGITANET),10920,27722,2997475
DMG,(DMGROUP),315,3172,9971
DNP,(DINOPL),4148,481806,20056010
DOM,(DOMDEV),26300,930,246217
DTR,(DIGITREE),1190,1,12
DVL,(DEVELIA),856,39747,345109
EAH,(ESOTIQ),3700,40,1477
EAT,(AMREST),1416,71067,1013349
ECB,(ECBSA),2670,237,6284
ECH,(ECHO),588,46081,271775
EDI,(EDINVEST),692,1564,10690
EEX,(EKOEXPORT),163,12326,20173
EFK,(EFEKT),530,200,1060
EHG,(EUROHOLD),300,3000,9000
EKP,(ELKOP),236,4132,9705
ELT,(ELEKTROTI),4760,7120,342019
ENA,(ENEA),2204,77512,1709602
ENE,(ENELMED),1800,55,1017
ENG,(ENERGA),1810,49219,889376
ENI,(ENERGOINS),285,34352,97624
ENP,(ENAP),298,890,2652
ENT,(ENTER),5250,3693,194268
EQU,(EQUNICO),890,2100,1865
ERB,(ERBUD),2795,781,21757
ERG,NA,4300,2,86
EST,(ESTAR),146,15,22
ETL,(EUROTEL),2820,245,6910
EUC,(EUCO),1655,17914,29442
EUR,(EUROCASH),7775,50880,396997
FAB,(FABRITY),2680,1002,26908
FEE,(FEERUM),1260,2,25
FFI,(FASTFIN),101,1200,1212
FHB,(FOODHUB),287,510,1464
FMG,NA,8540,50,4270
FON,NA,270,18790,5119
FRO,(FERRO),3040,16795,512597
FSG,(FASING),1270,10,127
FTE,(FORTE),2510,798,20017
GEA,(GRENEVIA),3315,8152,27119
GIF,(GAMFACTOR),780,1702,13337
GIG,(GIGROUP),205,300,607
GKI,(IMMOBILE),307,1091,3352
GMT,(GENOMTEC),490,8044,38952
GOB,(GOBARTO),2160,14,302
GOP,(GAMEOPS),1340,2322,31104
GPP,(GRUPRACUJ),5550,6448,357837
GPW,NA,6295,9292,584588
GRN,(GRODNO),1030,1456,15074
GRX,(GREENX),2018,213340,430732
GTC,NA,351,3106,10916
GTN,(GETIN),587,75334,43818
HDR,(HYDROTOR),1520,55,836
HEL,(HELIO),2830,887,25075
HRP,(HARPER),550,606,3304
HRS,(HERKULES),1320,12606,16545
HUG,(HUUUGE),2350,5913,139021
IBS,(IBSM),5940,1,59
ICE,(MEDINICE),1172,13792,156210
IDG,(INDYGO),250,1950,488
IDM,(IDMSA),545,5,3
IFC,(IFCAPITAL),0,0,0
IFI,(IFIRMA),2740,2105,57807
IFR,(IFSA),668,199998,1301330
IMC,(IMCOMPANY),2610,4699,124226
IMP,(IMPERIO),140,1210,1694
IMS,NA,300,1108,3320
INC,NA,1560,13041,20464
ING,(INGBSK),32750,1224,402325
INK,(INSTALKRK),3850,1006,38859
INL,(INTROL),688,100,688
INP,(INPRO),805,2,16
IPE,(IPOPEMA),325,22497,72078
IPO,(INTERSPPL),516,160,83
IRL,(INTERAOLT),1154,568018,6838081
ITB,(INTERBUD),219,100,219
IZB,(IZOBLOK),2500,100,2500
IZO,(IZOLACJA),388,5023,19275
IZS,(IZOSTAL),338,35130,118202
JRH,NA,588,3405,20231
JSW,NA,2421,149502,3645667
JWW,(JWWINVEST),317,35,111
KCH,(KRAKCHEM),720,3221,2319
KCI,NA,964,5210,4998
KDM,(KDMSHIPNG),140,28383,39736
KER,(KERNEL),1926,14003,268262
KGH,(KGHM),18940,414847,79180345
KGL,NA,1080,1,11
KGN,(KOGENERA),6230,1003,62533
KMP,(KOMPAP),2140,200,4280
KOM,(KOMPUTRON),600,7346,44478
KPD,(KPPD),2460,370,9166
KPL,(KINOPOL),1775,2009,35562
KRK,(KRKA),88200,12,10624
KRU,(KRUK),45400,7748,3535406
KSG,(KSGAGRO),339,445,1505
KTY,(KETY),91850,4175,3876949
KVT,(KRVITAMIN),1030,500,5150
LBT,(LIBET),1480,10,15
LBW,(LUBAWA),9690,118752,1151205
LEN,(LENA),272,6367,17273
LES,(LESS),237,252,59
LKD,(LOKUM),2270,305,6925
LPP,NA,1647000,1315,21764235
LRQ,(LARQ),203,210,427
LSI,(LSISOFT),2740,45,1241
LTX,(LENTEX),710,4715,33167
LWB,(BOGDANKA),2075,12015,248474
MAB,(MABION),781,16416,128242
MAK,(MAKARONPL),2275,581,13315
MAN,(MANYDEV),616,4160,2618
MBK,(MBANK),103900,6147,6429604
MBR,(MOBRUK),29000,1660,480058
MBW,(MBWS),1250,2,25
MCI,NA,2980,1817,54148
MCR,(MERCOR),2270,6377,142949
MDG,(MEDICALG),3340,9624,320798
MDI,(MDIENERGIA),956,6697,6361
MEG,(MEGARON),500,101,505
MEX,(MEXPOLSKA),353,2,7
MFO,NA,3690,708,26246
MGT,(MANGATA),6840,1674,113958
MIL,(MILLENNIUM),1595,151033,2422752
MIR,(MIRACULUM),734,2887,2148
MLG,(MLPGROUP),8140,1324,107937
MLK,(MILKILAND),1780,542,965
MLS,(MLSYSTEM),1630,10435,171019
MNC,(MENNICA),3490,2538,89346
MOC,(MOLECURE),605,6675,40322
MOJ,NA,144,10,14
MOL,NA,3356,284,9540
MON,(MONNARI),514,5485,28092
MOV,(MOVIEGAMES),1070,748,8174
MRB,(MIRBUD),1407,37642,530067
MRC,(MERCATOR),3965,415,16445
MSP,(MOSTALPLC),1550,922,14316
MSW,(MOSTALWAR),708,1906,13429
MSZ,(MOSTALZAB),650,4612,30000
MUR,(MURAPOL),3900,6395,249254
MVP,(MARVIPOL),816,1658,13568
MWT,(MWTRADE),348,2,7
MXC,(MAXCOM),526,106,558
MZA,(MUZA),1025,219,2242
NCL,(NOCTILUCA),9600,494,47352
NEU,(NEUCA),78500,222,174708
NNG,(NANOGROUP),2580,27044,69333
NTC,(NTCAPITAL),568,657,378
NTT,(NTTSYSTEM),908,2037,18647
NTU,(NOVATURAS),580,381,2216
NVA,(PANOVA),1610,40,644
NVG,(NOVAVISGR),1192,978,1171
NVT,(NOVITA),10500,52,5470
NWG,(NEWAG),9600,2418,235363
NXG,(NEXITY),220,10621,22353
OBL,(ORZBIALY),3880,140,5329
ODL,(ODLEWNIE),978,1383,13449
OND,(ONDE),872,4956,43177
ONO,(ONESANO),892,570,512
OPG,(ORCOGROUP),404,100,404
OPL,(ORANGEPL),9104,228645,2085512
OPM,(OPTEAM),318,230,732
OPN,(OPONEO.PL),9380,552,51943
OTM,(OTMUCHOW),490,1,5
OTS,(OTLOG),1302,1835,24145
PAS,(PASSUS),7780,2094,163421
PAT,(PATENTUS),353,3839,13629
PBF,(PBSFINANSE),580,10000,5800
PBG,NA,180,978207,17608
PBX,(PEKABEX),1480,636,9466
PCE,(POLICE),836,102,854
PCF,(PCFGROUP),3680,34574,125747
PCO,(PEPCO),2704,311681,8439621
PCR,(PCCROKITA),6910,3832,265812
PCX,(PCCEXOL),251,23411,58557
PEN,(PHOTON),227,9369,21473
PEO,(PEKAO),18975,145673,27824585
PEP,NA,5640,6550,371071
PGE,NA,11315,726483,8245366
PGM,(PMPG),1795,7,13
PGV,(PGFGROUP),520,72,37
PHN,NA,1005,243,2442
PHR,(PHARMENA),335,157,526
PJP,(PJPMAKRUM),1490,7,105
PKN,(PKNORLEN),10294,405340,41775420
PKO,(PKOBP),7470,716420,54003034
PKP,(PKPCARGO),1545,33788,524409
PLW,(PLAYWAY),25800,1338,349559
PLZ,(PLAZACNTR),2600,5278,13805
PMA,(PRIMAMODA),840,2,2
PPS,(PEPEES),920,5596,5031
PRI,(PRAGMAINK),314,10,31
PRM,(PROCHEM),2250,48,1081
PRT,(PROTEKTOR),1285,7417,9524
PTG,(POLTREG),2560,393,10049
PTW,(PTWP),13100,206,26505
PUR,(PURE),5275,3086,16008
PWX,(POLWAX),1370,1923,2643
PXM,(POLIMEXMS),603,208184,1247928
PZU,NA,6016,410719,24820765
QNA,(QNATECHNO),2630,2462,64202
